Name,Start,Duration,TID,Category
MoE route,47.4829s,261.839 μs,457618,
MegaBlock generate indices,47.4832s,470.568 μs,457618,
MegaBlock padded and reorder tokens,47.4837s,227.779 μs,457618,
MegaBlock generate topo,47.4839s,637.952 μs,457618,
MegaBlock mlp forward,47.4845s,579.715 μs,457618,
MegaBlock reorder and remove padding,47.4851s,161.941 μs,457618,
MegaSparse generate indices,47.4853s,478.204 μs,457618,
MegaSparse generate topo,47.4858s,744.116 μs,457618,
MegaSparse mlp forward,47.4866s,226.152 μs,457618,
MoE route,47.4868s,274.785 μs,457618,
MegaBlock generate indices,47.4871s,476.639 μs,457618,
MegaBlock padded and reorder tokens,47.4876s,246.965 μs,457618,
MegaBlock generate topo,47.4878s,627.172 μs,457618,
MegaBlock mlp forward,47.4884s,592.960 μs,457618,
MegaBlock reorder and remove padding,47.489s,167.705 μs,457618,
MegaSparse generate indices,47.4892s,489.946 μs,457618,
MegaSparse generate topo,47.4897s,704.341 μs,457618,
MegaSparse mlp forward,47.4904s,239.301 μs,457618,
MoE route,47.4907s,284.168 μs,457618,
MegaBlock generate indices,47.491s,467.118 μs,457618,
MegaBlock padded and reorder tokens,47.4915s,227.260 μs,457618,
MegaBlock generate topo,47.4917s,611.610 μs,457618,
MegaBlock mlp forward,47.4923s,582.346 μs,457618,
MegaBlock reorder and remove padding,47.4929s,160.646 μs,457618,
MegaSparse generate indices,47.4931s,486.887 μs,457618,
MegaSparse generate topo,47.4936s,734.391 μs,457618,
MegaSparse mlp forward,47.4943s,245.895 μs,457618,
MoE route,47.4946s,260.069 μs,457618,
MegaBlock generate indices,47.4949s,468.369 μs,457618,
