Name,Duration
MegaBlock generate indices,459.260 μs
MegaBlock padded and reorder tokens,236.240 μs
MegaBlock generate topo,601.180 μs
MegaBlock mlp forward,544.753 μs
MegaBlock reorder and remove padding,156.289 μs
MegaSparse generate indices,467.174 μs
MegaSparse generate topo,778.623 μs
MoE route,307.214 μs
MegaBlock generate indices,455.241 μs
MegaBlock padded and reorder tokens,239.181 μs
MegaBlock generate topo,615.365 μs
MegaBlock mlp forward,541.447 μs
MegaBlock reorder and remove padding,164.073 μs
MegaSparse generate indices,469.505 μs
MegaSparse generate topo,864.053 μs
MoE route,265.859 μs
MegaBlock generate indices,479.918 μs
MegaBlock padded and reorder tokens,243.731 μs
MegaBlock generate topo,630.246 μs
MegaBlock mlp forward,538.356 μs
MegaBlock reorder and remove padding,158.343 μs
MegaSparse generate indices,470.310 μs
MegaSparse generate topo,829.692 μs
MoE route,263.432 μs
MegaBlock generate indices,478.363 μs
MegaBlock padded and reorder tokens,243.573 μs
MegaBlock generate topo,609.568 μs
MegaBlock mlp forward,556.179 μs
MegaBlock reorder and remove padding,168.933 μs
MegaSparse generate indices,470.008 μs
MegaSparse generate topo,809.253 μs
MoE route,262.864 μs
MegaBlock generate indices,445.832 μs
MegaBlock padded and reorder tokens,218.465 μs
MegaBlock generate topo,584.191 μs
MegaBlock mlp forward,607.561 μs
MegaBlock reorder and remove padding,174.147 μs
MegaSparse generate indices,450.159 μs
MegaSparse generate topo,772.983 μs
MoE route,264.880 μs
MegaBlock generate indices,442.452 μs
MegaBlock padded and reorder tokens,212.972 μs
MegaBlock generate topo,597.628 μs
MegaBlock mlp forward,551.870 μs
MegaBlock reorder and remove padding,154.504 μs
MegaSparse generate indices,468.906 μs
MegaSparse generate topo,942.146 μs
MoE route,259.011 μs
MegaBlock generate indices,450.340 μs
MegaBlock padded and reorder tokens,212.329 μs
MegaBlock generate topo,579.913 μs
MegaBlock mlp forward,555.204 μs
MegaBlock reorder and remove padding,149.438 μs
MegaSparse generate indices,521.893 μs
MegaSparse generate topo,739.722 μs
MoE route,279.587 μs
MegaBlock generate indices,432.576 μs
MegaBlock padded and reorder tokens,225.342 μs
MegaBlock generate topo,585.229 μs
MegaBlock mlp forward,542.840 μs
MegaBlock reorder and remove padding,187.757 μs
MegaSparse generate indices,499.030 μs
MegaSparse generate topo,754.845 μs
MoE route,257.817 μs
MegaBlock generate indices,433.723 μs
MegaBlock padded and reorder tokens,233.784 μs
MegaBlock generate topo,588.742 μs
MegaBlock mlp forward,523.192 μs
MegaBlock reorder and remove padding,165.694 μs
MegaSparse generate indices,513.158 μs
MegaSparse generate topo,954.131 μs
MoE route,267.509 μs
MegaBlock generate indices,434.446 μs
MegaBlock padded and reorder tokens,229.564 μs
MegaBlock generate topo,626.404 μs
MegaBlock mlp forward,588.747 μs
MegaBlock reorder and remove padding,164.648 μs
MegaSparse generate indices,523.140 μs
MegaSparse generate topo,698.102 μs
MoE route,265.564 μs
MegaBlock generate indices,450.666 μs
MegaBlock padded and reorder tokens,214.295 μs
MegaBlock generate topo,578.940 μs
